Title,ID,budget,revenue,popularity,runtime,vote_average,vote_count
Despicable Me,20352,69000000,533679475,52.894,95,7.224,13891
Sherlock Holmes,10528,90000000,524028679,30.567,129,7.2,12896
The Peanut Butter Falcon,463257,0,0,11.363,97,7.406,1153
Incredibles 2,260513,200000000,1242805359,59.622,118,7.486,11741
Mad Max 2,8810,2000000,24600832,20.956,96,7.389,3163
Mulan,10674,90000000,304320254,83.499,88,7.918,8661
The Mitchells vs the Machines,501929,75000000,0,25.207,110,7.963,2381
End of Watch,77016,7000000,48126384,11.073,109,7.319,2845
The Jungle Book,9325,4000000,205843612,54.817,78,7.279,5657
Dawn of the Planet of the Apes,119450,170000000,710644566,50.26,130,7.305,10085
Snow White and the Seven Dwarfs,408,1488423,184925486,61.928,83,7.114,6642
Batoru rowaiaru,147957,0,0,2.968,77,4.6,7
Die Hard with a Vengeance,1572,90000000,366101666,38.756,128,7.246,5424
Gake no ue no Ponyo,12429,41677699,202404009,46.933,100,7.734,3592
Star Trek: First Contact,199,46000000,150000000,16.122,111,7.3,1530
Interstate 60: Episodes of the Road,20312,7000000,0,8.254,116,7.4,561
Sen to Chihiro no kamikakushi,129,19000000,274925095,74.873,125,8.54,14239
The Lion King,8587,45000000,763455561,106.827,89,8.258,16484
Hotaru no haka,76826,0,0,9.57,148,7.831,83
Spider-Man: Into the Spider-Verse,324857,90000000,375464627,92.803,117,8.407,12672
Coco,354912,175000000,800526015,82.423,105,8.225,17151
WALL E,298621,0,0,2.064,68,7.4,24
Kimi no na wa.,372058,0,357986087,103.411,106,8.521,9767
Mononoke-hime,128,26500000,159414369,34.381,134,8.34,6933
Toy Story,862,30000000,373554033,89.439,81,7.969,16648
Up,14160,175000000,735099082,67.745,96,7.9,18355
Toy Story 3,10193,200000000,1066969703,59.698,103,7.791,13411
Hauru no ugoku shiro,4935,24000000,236049757,77.117,119,8.405,8244
Inside Out,150540,175000000,857611174,71.585,95,7.9,18976
Finding Nemo,12,94000000,940335536,69.191,100,7.823,17617
Kimetsu no Yaiba: Mugen Ressha-Hen,635302,15800000,503063688,237.404,117,8.249,3069
Klaus,508965,0,0,21.242,96,8.261,3371
Ratatouille,2062,150000000,623726000,121.226,111,7.798,15213
How to Train Your Dragon,10191,165000000,494879471,62.1,98,7.806,11753
"Monsters, Inc.",585,115000000,579707738,114.513,92,7.83,16721
Tonari no Totoro,8392,3700000,45000000,51.324,86,8.068,6806
The Iron Giant,10386,70000000,23159305,37.237,86,7.922,4919
Koe no katachi,378064,0,30156463,52.164,130,8.398,3371
Mary and Max.,24238,8240000,1740429,8.54,92,7.856,1693
Zootopia,269149,150000000,1023784195,65.138,109,7.747,14848
The Incredibles,9806,92000000,631442092,64.043,115,7.702,16177
Soul,508442,150000000,136384442,84.411,101,8.154,9053
Aladdin,812,28000000,504050219,48.761,95,7.645,10275
Beauty and the Beast,10020,25000000,424967620,67.51,84,7.733,8991
Akira,149,10000000,553171,29.671,124,7.95,3524
Kaze no tani no Naushika,81,1000000,3301446,31.727,117,7.932,3034
WolfWalkers,441130,12000000,1266570,17.346,103,8.295,936
Song of the Sea,110416,0,857522,10.866,93,8.013,1233
Kaguya-hime no monogatari,149871,49300000,24366656,17.156,137,8.107,1485
Persepolis,2011,7300000,0,11.914,95,7.919,1696
Puss in Boots: The Last Wish,315162,90000000,480000000,1081.528,103,8.293,5426
Shrek,808,60000000,487853320,159.22,90,7.722,15245
Fantastic Mr. Fox,10315,40000000,46471023,25.65,87,7.776,4539
Toy Story 2,863,90000000,497366869,67.704,92,7.585,12530
The Nightmare Before Christmas,9479,24000000,75634409,51.442,76,7.84,8231
Mimi wo sumaseba,37797,0,0,29.717,111,7.9,1651
Big Hero 6,177572,165000000,657827828,94.605,102,7.739,14402
How to Train Your Dragon 2,82702,145000000,621537519,62.703,102,7.668,8702
Isle of Dogs,399174,62770198,64337744,15.533,101,7.862,4250
